system,stage,mani,n_prompts,unanimous_rate,mean_pairwise_agreement
Qwen3.5-0.8B-4bit,A,external_subset,2,0.2979827089337176,0.2634005763688761
Qwen3.5-0.8B-4bit,A,ham_test_manifest,4,0.019860973187686197,0.42841774246938097
Qwen3.5-2B-4bit,A,external_subset,2,0.7331412103746398,0.7331412103746398
Qwen3.5-2B-4bit,A,ham_test_manifest,4,0.7616683217477657,0.8585733200926846
gemma-4-E2B-it-4bit,A,external_subset,2,0.3273775216138329,0.3273775216138329
gemma-4-E2B-it-4bit,A,ham_test_manifest,4,0.18371400198609733,0.5166335650446872
