n,parse_fail_rate,abstain_rate,coverage,bal_acc,macro_f1,mcc,mel_recall,acc_on_covered,mean_conf,ece,brier,nll,aurc,risk_at_80cov,overconf_gap,latency_median,latency_p95,run,system,stage,pid,mani,macro_f1_lo,macro_f1_hi,ece_lo,ece_hi,aurc_lo,aurc_hi,mel_recall_lo,mel_recall_hi
1735,0.0,0.0,1.0,0.22768339768339765,0.16956040520507004,0.14572738552712716,0.5533333333333333,0.2628242074927954,0.7855043227665706,0.5226801152737752,0.4619063400576369,1.2079699001644064,0.6925972778016435,0.734149855907781,0.5226801152737752,2.45,2.6473,Qwen3.5-0.8B-4bit__A_abstain_v1__external_subset,Qwen3.5-0.8B-4bit,A,A_abstain_v1,external_subset,0.15546261780398407,0.18401760727445973,0.502043948126801,0.5440698847262248,0.6621843283201839,0.7242574989186373,0.49510142737735485,0.6094937603013892
2014,0.0,0.0,1.0,0.23186401037499604,0.11821361647420092,0.12027903266540202,0.6441441441441441,0.18768619662363456,0.7752730883813306,0.5875868917576961,0.4918619662363456,1.2657200480046646,0.7743056995859322,0.7752948479205463,0.5875868917576961,3.253,4.6127,Qwen3.5-0.8B-4bit__A_abstain_v1__ham_test_manifest,Qwen3.5-0.8B-4bit,A,A_abstain_v1,ham_test_manifest,0.09596617428054884,0.13981429816378524,0.5709738083416087,0.6047188430983117,0.7008924774902627,0.7592846331867815,0.5825500417014178,0.7075507982583453
1735,0.0,0.0345821325648415,0.9654178674351584,0.2965930841694024,0.20025436338552316,0.210098912174754,0.59,0.2871641791044776,0.8002686567164178,0.5131641791044775,0.46746716417910444,1.2458964515514952,0.6865780727094927,0.7082089552238806,0.5131044776119402,2.378,2.6156,Qwen3.5-0.8B-4bit__A_v1__external_subset,Qwen3.5-0.8B-4bit,A,A_v1,external_subset,0.18561426532377684,0.21600030939348017,0.4913699517697153,0.5353619383213224,0.6742302086017454,0.7346111712226476,0.5331159051791582,0.6468582887700535
2014,0.0,0.006454816285998014,0.993545183714002,0.2748923976230635,0.1517610548007101,0.1987059569342598,0.7882882882882883,0.37681159420289856,0.797326336831584,0.42056471764117936,0.39049350324837584,1.0403901430215512,0.51537998598991,0.5440349781386633,0.4205147426286855,3.1745,4.1903500000000005,Qwen3.5-0.8B-4bit__A_v1__ham_test_manifest,Qwen3.5-0.8B-4bit,A,A_v1,ham_test_manifest,0.1374884031721456,0.16628488464490668,0.400768250138549,0.43889687386129406,0.48872876023468115,0.549846586566714,0.7359307359307359,0.8440134453781513
2014,0.0,0.0,1.0,0.21213140234763145,0.12783078690737365,0.10913610310538402,0.2702702702702703,0.17378351539225423,0.7649453823237338,0.591261171797418,0.4863704071499504,1.2299161161060133,0.7745128862976928,0.7839851024208566,0.5911618669314795,3.573,5.025049999999999,Qwen3.5-0.8B-4bit__A_v2__ham_test_manifest,Qwen3.5-0.8B-4bit,A,A_v2,ham_test_manifest,0.10478215170252225,0.15080241463462743,0.5749993793445879,0.6084669811320755,0.7054402118201074,0.7682863643410682,0.213956207702974,0.3288372747747748
2014,0.0,0.0,1.0,0.15198065518030232,0.0458264872927993,0.04161818097377093,0.04054054054054054,0.10824230387288977,0.7513654419066534,0.6431231380337636,0.509035501489573,1.2696101146401708,0.9216582797229771,0.8653010552451893,0.6431231380337636,3.2135,4.27435,Qwen3.5-0.8B-4bit__A_v3__ham_test_manifest,Qwen3.5-0.8B-4bit,A,A_v3,ham_test_manifest,0.032852890597712285,0.06270265600967526,0.62934272591857,0.6560830436941409,0.84257867892549,0.8898654683740531,0.015145861601085482,0.06945013661202186
2014,0.0,0.0,1.0,0.14146341463414633,0.026605504587155965,0.004653456900237883,0.0,0.10079443892750745,0.7522840119165839,0.6514895729890765,0.5154592850049652,1.2862803183162408,0.9531953474666471,0.8746120422098076,0.6514895729890764,0.758,0.817,Qwen3.5-0.8B-4bit__B1_v1__Qwen3.5-0.8B-4bit__B2_v1__ham_test_manifest,Qwen3.5-0.8B-4bit->Qwen3.5-0.8B-4bit,B2,B2_v1,ham_test_manifest,0.023412370648585167,0.029993875322877003,0.6379828699106256,0.6646002979145978,0.8849327489013478,0.9178884479846895,0.0,0.0
2014,0.0,0.0,1.0,0.14258661764164332,0.11883880161726279,0.03464315158719953,0.013513513513513514,0.6678252234359484,0.8499999999999999,0.18217477656405145,0.25502234359483616,0.7387096474990871,0.17760499401834864,0.3643699565487275,0.18217477656405145,1.709,1.723,Qwen3.5-0.8B-4bit__B1_v1__Qwen3.5-2B-4bit__B2_v1__ham_test_manifest,Qwen3.5-0.8B-4bit->Qwen3.5-2B-4bit,B2,B2_v1,ham_test_manifest,0.11487766518617556,0.12413998293169949,0.1628103277060574,0.20353773584905643,0.304000648814223,0.36133634646958396,0.0,0.030441456903127377
1735,0.0005763688760806917,1.0,0.0,,,,,,,,,,,,,,,Qwen3.5-0.8B-4bit__B1_v1__external_subset,Qwen3.5-0.8B-4bit,B1,B1_v1,external_subset,,,,,,,,
2014,0.0,0.0,1.0,0.18577356186868074,0.12165174345710024,0.09478610901645572,0.8423423423423423,0.32522343594836145,0.7546921549155907,0.42996524329692154,0.4060985600794439,1.0487515017694822,0.6967591853756449,0.6871508379888268,0.42946871896722927,1.378,1.5013499999999997,Qwen3.5-0.8B-4bit__B1_v1__gemma-4-E2B-it-4bit__B2_v1__ham_test_manifest,Qwen3.5-0.8B-4bit->gemma-4-E2B-it-4bit,B2,B2_v1,ham_test_manifest,0.10376943445299663,0.1416071330406916,0.41025012413108236,0.44950844091360476,0.6716741653301537,0.7258051071616577,0.7920736078132701,0.887256628003314
