system,pid,n,flip_lesion,flip_control,flip_background,faithfulness_delta,delta_lo,delta_hi,dconf_lesion,dconf_control
Qwen3.5-0.8B-4bit,A_v1,242,0.5082644628099173,0.2644628099173554,0.4380165289256198,0.24380165289256198,0.16942148760330578,0.3181818181818182,-0.04566115702479339,-0.0359504132231405
Qwen3.5-0.8B-4bit,B1_v1,242,1.0,1.0,1.0,0.0,0.0,0.0,,
Qwen3.5-2B-4bit,A_v1,242,0.6942148760330579,0.13636363636363635,0.3140495867768595,0.5578512396694215,0.48760330578512395,0.628099173553719,-0.01942148760330578,-0.011157024793388428
Qwen3.5-2B-4bit,B1_v1,242,1.0,1.0,1.0,0.0,0.0,0.0,,
gemma-4-E2B-it-4bit,A_v1,242,0.03305785123966942,0.012396694214876033,0.01652892561983471,0.02066115702479339,0.0,0.04132231404958678,-0.0041322314049586795,0.0016528925619834726
gemma-4-E2B-it-4bit,B1_v1,242,1.0,1.0,1.0,0.0,0.0,0.0,,
